rank,domain,company_name,country,sector
1,queenco.com,"(Y.Z) Queenco Ltd","Israel","Other"
2,1300smiles.com.au,"1300 SMILES","Australia","Other"
3,ch.21vianet.com,"21Vianet","People's Republic of China","Other"
4,2345.com,"2345.com","People's Republic of China","Other"
5,361sport.com,"361˚","People's Republic of China","Other"
6,36kr.com,"36Kr","People's Republic of China","Other"
7,37.com,"37Games","People's Republic of China","Other"
8,3d-gold.hk,"3DG Jewellery","People's Republic of China","Other"
9,3i-infotech.com,"3i Infotech Limited","India","Other"
10,58.com,"58.com","People's Republic of China","Other"
11,5paisa.com,"5paisa","India","Other"
12,7daysinn.cn,"7 Days Inn","People's Republic of China","Other"
13,88energy.com,"88 ENERGY LIMITED","Australia","Other"
14,aandd.co.jp,"A&D Company","Japan","Other"
15,cabcharge.com.au,"A2B Australia","Australia","Transportation & Logistics"
16,aabsalco.com,"Aabsal","Iran","Other"
17,aactechnologies.com,"AAC Technologies Holdings Inc","People's Republic of China","Other"
18,abacusproperty.com.au,"Abacus Property Group","Australia","Other"
19,abc-mart.net,"ABC-Mart","Japan","Retail & E-commerce"
20,abcence.com,"Abcence","India","Other"
21,abclon.com,"AbClon (Korea)","South Korea","Other"
22,othaimmarkets.com,"Abdullah AlOthaim Markets","Saudi Arabia","Retail & E-commerce"
23,alhokair.com,"Abdulmohsen Alhokair Group for Tourism and Development","Saudi Arabia","Other"
24,abgsc.com,"ABG Sundal Collier","Norway","Banking & Finance"
25,abm-investama.com,"ABM Investama","Indonesia","Banking & Finance"
26,abnamro.com,"ABN AMRO","Netherlands","Banking & Finance"
27,aboitizpower.com,"AboitizPower","Philippines","Other"
28,abra-it.com,"Abra Information Technologies Ltd.","Israel","Other"
29,absa.africa,"ABSA Group Limited","South Africa","Banking & Finance"
30,takaful.ae,"Abu Dhabi National Takaful Company","United Arab Emirates","Banking & Finance"
31,acclimited.com,"ACC Limited","India","Other"
32,acehardware.co.id,"Ace Hardware Indonesia","Indonesia","Retail & E-commerce"
33,ackerstein.co.il,"Ackerstein Group","Israel","Other"
34,acom.co.jp,"Acom","Japan","Other"
35,acset.co,"Acset Indonusa","Indonesia","Critical Infrastructure"
36,action.com.tw,"Action Electronics","Taiwan","Technology"
37,actionstech.com,"Actions Technology","People's Republic of China","Technology"
38,actoz.com,"Actoz Soft","South Korea","Other"
39,adacel.com,"Adacel","Australia","Technology"
40,adairs.co.nz,"Adairs","Australia","Other"
41,adama.com,"Adama (publishers)","Israel","Media & Entertainment"
42,adama.com,"Adama Agricultural Solutions Ltd.","Israel","Other"
43,adanienergysolutions.com,"Adani Energy Solutions","India","Other"
44,adanienterprises.com,"Adani Enterprises","India","Other"
45,adanigreenenergy.com,"Adani Green Energy","India","Other"
46,adaniports.com,"Adani Ports & SEZ","India","Other"
47,awl.in,"Adani Wilmar","India","Other"
48,adarominerals.id,"Adaro Minerals Indonesia","Indonesia","Energy & Utilities"
49,adbiotech.com,"Adbiotech (South Korea)","South Korea","Other"
50,adcock.com,"Adcock Ingram","South Africa","Healthcare"
51,adbri.com.au,"Adelaide Brighton Cement","Australia","Critical Infrastructure"
52,adgar.com,"Adgar Investment & Development Ltd","Israel","Other"
53,adcp.co.id,"Adhi Commuter Properti","Indonesia","Critical Infrastructure"
54,adhi.co.id,"Adhi Karya","Indonesia","Critical Infrastructure"
55,albs.com.np,"Adhikhola Laghubitta Bittiya Sanstha Limited","Nepal","Banking & Finance"
56,assarent.co.id,"Adi Sarana Armada","Indonesia","Critical Infrastructure"
57,adikastyle.com,"Adika Style Ltd","Israel","Other"
58,adira.co.id,"Adira Dinamika Multi Finance","Indonesia","Banking & Finance"
