rank,domain,company_name,country,sector,index
1,all.accor.com,"Accor","France","Other","CAC 40"
2,airliquide.ca,"Air Liquide","France","Other","CAC 40"
3,airbus.com,"Airbus SE","France","Other","CAC 40"
4,alstom.com,"Alstom","France","Other","CAC 40"
5,corporate.arcelormittal.com,"ArcelorMittal","Spain","Energy & Utilities","CAC 40"
6,atos.net,"Atos SE","France","Other","CAC 40"
7,axa.com,"AXA","France","Banking & Finance","CAC 40"
8,group.bnpparibas,"BNP Paribas","France","Media & Entertainment","CAC 40"
9,bouygues.com,"Bouygues","France","Real Estate & Infrastructure","CAC 40"
10,capgemini.com,"Capgemini","France","Other","CAC 40"
11,carrefour.com,"Carrefour Group","France","Other","CAC 40"
12,credit-agricole.com,"Credit Agricole Group","France","Media & Entertainment","CAC 40"
13,danone.com,"Danone","Spain","Retail & Consumer","CAC 40"
14,3ds.com,"Dassault Systèmes","France","Other","CAC 40"
15,edenred.com,"Edenred","France","Other","CAC 40"
16,edf.fr,"Électricité de France","France","Other","CAC 40"
17,agence.engie-homeservices.fr,"Engie","France","Other","CAC 40"
18,essilorluxottica.com,"EssilorLuxottica","France","Other","CAC 40"
19,eurofins.com,"Eurofins Scientific","France","Other","CAC 40"
20,gemalto.com,"Gemalto","Netherlands","Other","CAC 40"
21,groupe-psa.com,"Groupe PSA","France","Transportation & Logistics","CAC 40"
22,hermes.com,"Hermès","France","Other","CAC 40"
23,kering.com,"Kering","France","Other","CAC 40"
24,loreal.com,"L'Oréal","France","Other","CAC 40"
25,lafarge.ca,"Lafarge","France","Other","CAC 40"
26,legrandgroup.com,"Legrand","France","Other","CAC 40"
27,lvmh.com,"LVMH","France","Retail & Consumer","CAC 40"
28,michelin.com,"Michelin","France","Other","CAC 40"
29,pernod-ricard.com,"Pernod Ricard","France","Retail & Consumer","CAC 40"
30,publicisgroupe.com,"Publicis","France","Other","CAC 40"
31,renaultgroup.com,"Renault","France","Other","CAC 40"
32,safran-group.com,"Safran","France","Other","CAC 40"
33,saint-gobain.com,"Saint-Gobain","France","Real Estate & Infrastructure","CAC 40"
34,sanofi.com,"Sanofi","France","Healthcare","CAC 40"
35,se.com,"Schneider Electric","France","Other","CAC 40"
36,societegenerale.com,"Société Générale","France","Banking & Finance","CAC 40"
37,solvay.com,"Solvay S.A.","Belgium","Materials & Chemicals","CAC 40"
38,stellantis.com,"Stellantis","Netherlands","Transportation & Logistics","CAC 40"
39,st.com,"STMicroelectronics","Switzerland","Technology","CAC 40"
40,teleperformance.com,"Teleperformance","France","Other","CAC 40"
41,thalesgroup.com,"Thales Group","France","Telecommunications","CAC 40"
42,totalenergies.com,"TotalEnergies","France","Energy & Utilities","CAC 40"
43,urw.com,"Unibail Rodamco Westfield","France","Other","CAC 40"
44,valeo.com,"Valeo","France","Transportation & Logistics","CAC 40"
45,veolia.com,"Veolia","France","Other","CAC 40"
46,vinci.com,"Vinci","France","Real Estate & Infrastructure","CAC 40"
47,vivendi.com,"Vivendi","France","Other","CAC 40"
48,worldline.com,"Worldline","France","Other","CAC 40"
