rank,domain,company_name,country,sector,index
1,adidas-group.com,"Adidas AG","Germany","Other","DAX"
2,airbus.com,"Airbus SE","France","Other","DAX"
3,allianz.com,"Allianz SE","Germany","Banking & Finance","DAX"
4,altana.com,"Altana","Germany","Materials & Chemicals","DAX"
5,basf.com,"BASF","Germany","Materials & Chemicals","DAX"
6,bayer.com,"Bayer","Germany","Healthcare","DAX"
7,hypo.de,"Bayerische Hypotheken- und Wechsel-Bank","Germany","Banking & Finance","DAX"
8,beiersdorf.com,"Beiersdorf","Germany","Materials & Chemicals","DAX"
9,brenntag.com,"Brenntag","Germany","Other","DAX"
10,commerzbank.com,"Commerzbank AG","Germany","Banking & Finance","DAX"
11,continental.com,"Continental AG","Germany","Other","DAX"
12,covestro.com,"Covestro","Germany","Materials & Chemicals","DAX"
13,daimlertruck.com,"Daimler Truck","Germany","Transportation & Logistics","DAX"
14,daimler.de,"Daimler-Benz AG","Germany","Transportation & Logistics","DAX"
15,degussa-goldhandel.de,"Degussa","Germany","Other","DAX"
16,deliveryhero.com,"Delivery Hero","Germany","Retail & Consumer","DAX"
17,db.com,"Deutsche Bank","Germany","Media & Entertainment","DAX"
18,deutsche-boerse.com,"Deutsche Börse","Germany","Banking & Finance","DAX"
19,dpdhl.com,"Deutsche Post AG","Germany","Telecommunications","DAX"
20,telekom.com,"Deutsche Telekom","Germany","Other","DAX"
21,deutsche-wohnen.com,"Deutsche Wohnen SE","Germany","Real Estate & Infrastructure","DAX"
22,dresdner-bank.de,"Dresdner Bank","Germany","Banking & Finance","DAX"
23,eon.com,"E.ON","Germany","Energy & Utilities","DAX"
24,epcos.com,"EPCOS","Germany","Technology","DAX"
25,fmcna.com,"Fresenius Medical Care","Germany","Technology","DAX"
26,fresenius.com,"Fresenius SE & Co. KGaA","Germany","Healthcare","DAX"
27,galeria.de,"Galeria Kaufhof","Germany","Retail & Consumer","DAX"
28,gea.com,"GEA Group","Germany","Retail & Consumer","DAX"
29,hannover-re.com,"Hannover Rück SE","Germany","Banking & Finance","DAX"
30,heidelbergmaterials.com,"Heidelberg Materials","Germany","Energy & Utilities","DAX"
31,hoechst.de,"Hoechst","Germany","Technology","DAX"
32,infineon.com,"Infineon Technologies","Germany","Technology","DAX"
33,kpluss.com,"K+S","Germany","Energy & Utilities","DAX"
34,karstadt.de,"Karstadt","Germany","Retail & Consumer","DAX"
35,lanxess.com,"Lanxess","Germany","Materials & Chemicals","DAX"
36,linde.com,"Linde","Germany","Materials & Chemicals","DAX"
37,linde.com,"Linde Group","Ireland","Materials & Chemicals","DAX"
38,lufthansa.com,"Lufthansa","Germany","Transportation & Logistics","DAX"
39,mantruckandbus.com,"MAN SE","Germany","Other","DAX"
40,mannesmann.com,"Mannesmann","Germany","Other","DAX"
41,group.mercedes-benz.com,"Mercedes-Benz Group","Germany","Transportation & Logistics","DAX"
42,merckgroup.com,"Merck KGaA","Germany","Materials & Chemicals","DAX"
43,metroag.de,"METRO Group","Germany","Retail & Consumer","DAX"
44,mlp-se.com,"MLP SE","Germany","Other","DAX"
45,mtu.de,"MTU Aero Engines","Germany","Other","DAX"
46,munichre.com,"Munich Re","Germany","Insurance","DAX"
47,porsche.com,"Porsche","Germany","Transportation & Logistics","DAX"
48,porsche-se.com,"Porsche Automobil Holding SE","Germany","Other","DAX"
49,prosiebensat1.de,"ProSiebenSat.1 Media SE","Germany","Media & Entertainment","DAX"
50,eu.puma.com,"Puma","Germany","Other","DAX"
51,qiagen.com,"Qiagen","Netherlands","Technology","DAX"
52,rheinmetall.com,"Rheinmetall AG","Germany","Transportation & Logistics","DAX"
53,rwe.com,"RWE","Germany","Energy & Utilities","DAX"
54,salzgitter-ag.com,"Salzgitter AG","German Reich","Materials & Chemicals","DAX"
55,sap.com,"SAP","Germany","Technology","DAX"
56,sartorius.com,"Sartorius AG","Germany","Other","DAX"
57,schering.xyz,"Schering AG","Germany","Healthcare","DAX"
58,scout24.com,"Scout24 SE","Germany","Other","DAX"
59,siemens.com,"Siemens","Germany","Other","DAX"
60,siemens-energy.com,"Siemens Energy AG","Germany","Technology","DAX"
61,siemens-healthineers.com,"Siemens Healthineers","Germany","Technology","DAX"
62,symrise.com,"Symrise","Germany","Retail & Consumer","DAX"
63,vitesco-technologies.com,"Vitesco Technologies","Germany","Other","DAX"
64,volkswagenag.com,"Volkswagen Group","Germany","Transportation & Logistics","DAX"
65,vonovia.de,"Vonovia","Germany","Real Estate & Infrastructure","DAX"
66,wirecard.com,"Wirecard","Germany","Banking & Finance","DAX"
67,corporate.zalando.com,"Zalando","Germany","Other","DAX"
