rank,domain,company_name,country,sector,index
1,adidas-group.com,"Adidas AG","Germany","Other","Euro Stoxx 50"
2,airbus.com,"Airbus SE","France","Other","Euro Stoxx 50"
3,allianz.com,"Allianz SE","Germany","Banking & Finance","Euro Stoxx 50"
4,amadeus.com,"Amadeus IT Group","Spain","Technology","Euro Stoxx 50"
5,asml.com,"ASML Holding","Netherlands","Technology","Euro Stoxx 50"
6,basf.com,"BASF","Germany","Materials & Chemicals","Euro Stoxx 50"
7,bayer.com,"Bayer","Germany","Healthcare","Euro Stoxx 50"
8,group.bnpparibas,"BNP Paribas","France","Media & Entertainment","Euro Stoxx 50"
9,crh.com,"CRH","Ireland","Materials & Chemicals","Euro Stoxx 50"
10,danone.com,"Danone","Spain","Retail & Consumer","Euro Stoxx 50"
11,db.com,"Deutsche Bank","Germany","Media & Entertainment","Euro Stoxx 50"
12,dpdhl.com,"Deutsche Post AG","Germany","Telecommunications","Euro Stoxx 50"
13,telekom.com,"Deutsche Telekom","Germany","Other","Euro Stoxx 50"
14,eon.com,"E.ON","Germany","Energy & Utilities","Euro Stoxx 50"
15,enel.com,"Enel","Italy","Energy & Utilities","Euro Stoxx 50"
16,agence.engie-homeservices.fr,"Engie","France","Other","Euro Stoxx 50"
17,eni.com,"Eni","Italy","Energy & Utilities","Euro Stoxx 50"
18,essilorluxottica.com,"EssilorLuxottica","France","Other","Euro Stoxx 50"
19,fmcna.com,"Fresenius Medical Care","Germany","Technology","Euro Stoxx 50"
20,kering.com,"Kering","France","Other","Euro Stoxx 50"
21,linde.com,"Linde Group","Ireland","Materials & Chemicals","Euro Stoxx 50"
22,munichre.com,"Munich Re","Germany","Insurance","Euro Stoxx 50"
23,saint-gobain.com,"Saint-Gobain","France","Real Estate & Infrastructure","Euro Stoxx 50"
24,santander.com,"Santander Group","Spain","Banking & Finance","Euro Stoxx 50"
25,siemens.com,"Siemens","Germany","Other","Euro Stoxx 50"
26,telefonica.com,"Telefónica","Spain","Telecommunications","Euro Stoxx 50"
27,totalenergies.com,"TotalEnergies","France","Energy & Utilities","Euro Stoxx 50"
28,unicreditgroup.eu,"UniCredit","Italy","Banking & Finance","Euro Stoxx 50"
29,unilever.com,"Unilever","Kingdom of the Netherlands","Other","Euro Stoxx 50"
30,vinci.com,"Vinci","France","Real Estate & Infrastructure","Euro Stoxx 50"
31,volkswagenag.com,"Volkswagen Group","Germany","Transportation & Logistics","Euro Stoxx 50"
