rank,domain,company_name,country,sector,index
1,3i.com,"3i","United Kingdom","Other","FTSE 100"
2,aberdeenplc.com,"Abrdn","United Kingdom","Banking & Finance","FTSE 100"
3,admiralgroup.co.uk,"Admiral Group","United Kingdom","Insurance","FTSE 100"
4,antofagasta.co.uk,"Antofagasta PLC","United Kingdom","Energy & Utilities","FTSE 100"
5,ashtead-group.com,"Ashtead Group","United Kingdom","Other","FTSE 100"
6,abf.co.uk,"Associated British Foods","United Kingdom","Retail & Consumer","FTSE 100"
7,astrazeneca.com,"AstraZeneca","United Kingdom","Healthcare","FTSE 100"
8,autotrader.co.uk,"Autotrader Ltd","United Kingdom","Other","FTSE 100"
9,avast.com,"Avast Software","Czech Republic","Technology","FTSE 100"
10,aveva.com,"AVEVA","United Kingdom","Technology","FTSE 100"
11,aviva.co.uk,"Aviva","United Kingdom","Insurance","FTSE 100"
12,bmstores.co.uk,"B&M","United Kingdom","Retail & Consumer","FTSE 100"
13,baesystems.com,"BAE Systems","United Kingdom","Other","FTSE 100"
14,home.barclays,"Barclays","United Kingdom","Banking & Finance","FTSE 100"
15,barrattdevelopments.co.uk,"Barratt Developments","United Kingdom","Other","FTSE 100"
16,berkeleygroup.co.uk,"Berkeley Group Holdings","United Kingdom","Other","FTSE 100"
17,bhp.com,"BHP Group","Australia","Energy & Utilities","FTSE 100"
18,bp.com,"BP","United Kingdom","Energy & Utilities","FTSE 100"
19,bat.com,"British American Tobacco","United Kingdom","Other","FTSE 100"
20,britishland.com,"British Land","United Kingdom","Other","FTSE 100"
21,bt.com,"BT Group","United Kingdom","Telecommunications","FTSE 100"
22,bunzl.com,"Bunzl plc","United Kingdom","Media & Entertainment","FTSE 100"
23,carnivalcorp.com,"Carnival Corporation & plc","United States","Other","FTSE 100"
24,centrica.com,"Centrica","United Kingdom","Energy & Utilities","FTSE 100"
25,coca-colahellenic.com,"Coca-Cola HBC","Switzerland","Retail & Consumer","FTSE 100"
26,compass-group.com,"Compass Group","United Kingdom","Retail & Consumer","FTSE 100"
27,crh.com,"CRH","Ireland","Materials & Chemicals","FTSE 100"
28,croda.com,"Croda International","United Kingdom","Materials & Chemicals","FTSE 100"
29,dcc.ie,"DCC plc","Ireland","Other","FTSE 100"
30,diageo.com,"Diageo","United Kingdom","Retail & Consumer","FTSE 100"
31,directlinegroup.com,"Direct Line Group","United Kingdom","Insurance","FTSE 100"
32,dssmith.com,"DS Smith","United Kingdom","Materials & Chemicals","FTSE 100"
33,easyjet.com,"easyJet","United Kingdom","Other","FTSE 100"
34,entaingroup.com,"Entain",,"Other","FTSE 100"
35,evraz.com,"Evraz","United Kingdom","Materials & Chemicals","FTSE 100"
36,experian.com,"Experian","Ireland","Other","FTSE 100"
37,fergusonplc.com,"Ferguson plc","United Kingdom","Materials & Chemicals","FTSE 100"
38,flutter.com,"Flutter Entertainment","Ireland","Other","FTSE 100"
39,fresnilloplc.com,"Fresnillo plc","United Kingdom","Energy & Utilities","FTSE 100"
40,glencore.com,"Glencore","Switzerland","Energy & Utilities","FTSE 100"
41,gsk.com,"GSK","United Kingdom","Technology","FTSE 100"
42,halma.com,"Halma plc","United Kingdom","Technology","FTSE 100"
43,hl.co.uk,"Hargreaves Lansdown","United Kingdom","Banking & Finance","FTSE 100"
44,hikma.com,"Hikma Pharmaceuticals","United Kingdom","Healthcare","FTSE 100"
45,hiscoxgroup.com,"Hiscox","United Kingdom","Insurance","FTSE 100"
46,homeserveplc.com,"Homeserve","United Kingdom","Other","FTSE 100"
47,hsbc.com,"HSBC","United Kingdom","Insurance","FTSE 100"
48,ihgplc.com,"IHG Hotels & Resorts","United Kingdom","Retail & Consumer","FTSE 100"
49,imperialbrandsplc.com,"Imperial Brands","United Kingdom","Other","FTSE 100"
50,informa.com,"Informa","United Kingdom","Media & Entertainment","FTSE 100"
51,inmarsat.com,"Inmarsat","United Kingdom","Other","FTSE 100"
52,icgam.com,"Intermediate Capital Group","United Kingdom","Banking & Finance","FTSE 100"
53,iairgroup.com,"International Airlines Group","Spain","Other","FTSE 100"
54,intertek.com,"Intertek","United Kingdom","Other","FTSE 100"
55,itvplc.com,"ITV plc","United Kingdom","Media & Entertainment","FTSE 100"
56,jdsports.com,"JD Sports","United Kingdom","Retail & Consumer","FTSE 100"
57,woodplc.com,"John Wood Group plc","United Kingdom","Energy & Utilities","FTSE 100"
58,matthey.com,"Johnson Matthey","United Kingdom","Other","FTSE 100"
59,10bis.co.il,"Just Eat","Amsterdam","Other","FTSE 100"
60,justeattakeaway.com,"Just Eat Takeaway","Netherlands","Retail & Consumer","FTSE 100"
61,kingfisher.com,"Kingfisher plc","United Kingdom","Retail & Consumer","FTSE 100"
62,landsecurities.co.uk,"Land Securities","United Kingdom","Real Estate & Infrastructure","FTSE 100"
63,legalandgeneralgroup.com,"Legal & General","United Kingdom","Insurance","FTSE 100"
64,lloydsbankinggroup.com,"Lloyds Banking Group","United Kingdom","Banking & Finance","FTSE 100"
65,lseg.com,"London Stock Exchange Group","United Kingdom","Banking & Finance","FTSE 100"
66,mandg.co.uk,"M&G Investments",,"Banking & Finance","FTSE 100"
67,marksandspencer.com,"Marks & Spencer","United Kingdom","Retail & Consumer","FTSE 100"
68,meggitt.com,"Meggitt","United Kingdom","Defence & Security","FTSE 100"
69,melroseplc.net,"Melrose Industries","United Kingdom","Banking & Finance","FTSE 100"
70,microfocus.com,"Micro Focus International","United Kingdom","Technology","FTSE 100"
71,mondigroup.com,"Mondi Group","United Kingdom","Other","FTSE 100"
72,morrisons.com,"Morrisons","United Kingdom","Retail & Consumer","FTSE 100"
73,nationalgrid.com,"National Grid plc","United Kingdom","Energy & Utilities","FTSE 100"
74,natwestgroup.com,"NatWest Group","United Kingdom","Banking & Finance","FTSE 100"
75,next.co.uk,"Next plc","United Kingdom","Other","FTSE 100"
76,nmc.ae,"NMC Health","United Arab Emirates","Healthcare","FTSE 100"
77,ocado.com,"Ocado","United Kingdom","Other","FTSE 100"
78,pearson.com,"Pearson plc","United Kingdom","Real Estate & Infrastructure","FTSE 100"
79,pennon-group.co.uk,"Pennon Group","United Kingdom","Other","FTSE 100"
80,pershingsquareholdings.com,"Pershing Square Holdings","United States","Other","FTSE 100"
81,persimmonhomes.com,"Persimmon plc","United Kingdom","Other","FTSE 100"
82,thephoenixgroup.com,"Phoenix Group","United Kingdom","Insurance","FTSE 100"
83,prudentialplc.com,"Prudential plc","United Kingdom","Insurance","FTSE 100"
84,reckitt.com,"Reckitt","United Kingdom","Other","FTSE 100"
85,reedelsevier.com,"RELX","United Kingdom","Other","FTSE 100"
86,renishaw.com,"Renishaw plc","United Kingdom","Other","FTSE 100"
87,rentokil-initial.com,"Rentokil Initial",,"Other","FTSE 100"
88,rightmove.co.uk,"Rightmove",,"Technology","FTSE 100"
89,rolls-royce.com,"Rolls-Royce","United Kingdom","Energy & Utilities","FTSE 100"
90,royalmail.com,"Royal Mail","United Kingdom","Other","FTSE 100"
91,rsagroup.com,"RSA Insurance Group","United Kingdom","Insurance","FTSE 100"
92,sage.com,"Sage Group","United Kingdom","Technology","FTSE 100"
