rank,domain,company_name,country,sector,index
1,acciona.com,"Acciona","Spain","Real Estate & Infrastructure","IBEX 35"
2,acciona-energia.com,"Acciona Energía","Spain","Energy & Utilities","IBEX 35"
3,acerinox.com,"Acerinox","Spain","Materials & Chemicals","IBEX 35"
4,aena.es,"Aena","Spain","Other","IBEX 35"
5,almirall.com,"Almirall","Spain","Healthcare","IBEX 35"
6,amadeus.com,"Amadeus IT Group","Spain","Technology","IBEX 35"
7,corporate.arcelormittal.com,"ArcelorMittal","Spain","Energy & Utilities","IBEX 35"
8,bbva.com,"Banco Bilbao Vizcaya Argentaria","Spain","Banking & Finance","IBEX 35"
9,bankinter.com,"Bankinter","Spain","Banking & Finance","IBEX 35"
10,caixabank.cat,"CaixaBank","Spain","Banking & Finance","IBEX 35"
11,cellnex.com,"Cellnex Telecom","Spain","Telecommunications","IBEX 35"
12,enagas.com,"Enagás","Spain","Energy & Utilities","IBEX 35"
13,endesa.com,"Endesa","Spain","Energy & Utilities","IBEX 35"
14,ferrovial.com,"Ferrovial","Spain","Transportation & Logistics","IBEX 35"
15,fluidra.com,"Fluidra","Spain","Other","IBEX 35"
16,grupoacs.com,"Grupo ACS","Spain","Real Estate & Infrastructure","IBEX 35"
17,iberdrola.com,"Iberdrola","Spain","Other","IBEX 35"
18,inditex.com,"Inditex","Spain","Other","IBEX 35"
19,indracompany.com,"Indra Sistemas","Spain","Other","IBEX 35"
20,inmocolonial.com,"Inmobiliaria Colonial","Spain","Real Estate & Infrastructure","IBEX 35"
21,iairgroup.com,"International Airlines Group","Spain","Other","IBEX 35"
22,grupologista.com,"Logista","Spain","Other","IBEX 35"
23,mapfre.com,"MAPFRE","Spain","Insurance","IBEX 35"
24,merlinproperties.com,"Merlin Properties","Spain","Real Estate & Infrastructure","IBEX 35"
25,naturgy.com,"Naturgy","Spain","Other","IBEX 35"
26,puig.com,"Puig","Spain","Other","IBEX 35"
27,redeia.com,"Red Eléctrica de España","Spain","Energy & Utilities","IBEX 35"
28,repsol.com,"Repsol","Spain","Energy & Utilities","IBEX 35"
29,rovi.es,"Rovi","Spain","Healthcare","IBEX 35"
30,bancsabadell.com,"Sabadell Bank","Spain","Banking & Finance","IBEX 35"
31,sacyr.com,"Sacyr","Spain","Real Estate & Infrastructure","IBEX 35"
32,santander.com,"Santander Group","Spain","Banking & Finance","IBEX 35"
33,siemensgamesa.com,"Siemens Gamesa","Spain","Energy & Utilities","IBEX 35"
34,solariaenergia.com,"Solaria Energía y Medio Ambiente","Spain","Energy & Utilities","IBEX 35"
35,telefonica.com,"Telefónica","Spain","Telecommunications","IBEX 35"
36,unicajabanco.es,"Unicaja Banco","Spain","Banking & Finance","IBEX 35"
