company_name,country,sector,qid
"Julius Baer","Switzerland","Banking & Finance",Q1712527
"Julius Baer","Switzerland","Banking & Finance",Q1712527
"ASML Holding","Netherlands","Technology",
"Anheuser-Busch InBev","Belgium","Retail & Consumer",
"Vodafone Group","United Kingdom","Telecommunications",
"Rio Tinto Group","United Kingdom","Materials & Chemicals",
"UBS Group","Switzerland","Banking & Finance",
"Vinci (company)","France","Other",
"AXA","France","Insurance",
"Volvo Group","Sweden","Transportation & Logistics",
"Orange S.A.","France","Telecommunications",
"EDP - Energias de Portugal","Portugal","Energy & Utilities",
"Redeia","Spain","Energy & Utilities",
"Sandvik AB","Sweden","Transportation & Logistics",
"Spirax-Sarco Engineering","United Kingdom","Transportation & Logistics",
"International Consolidated Airlines Group","United Kingdom","Other",
"Ashtead Group","United Kingdom","Transportation & Logistics",
"Phoenix Group","United Kingdom","Insurance",
"Land Securities","United Kingdom","Real Estate & Infrastructure",
"Unite Group","United Kingdom","Real Estate & Infrastructure",
"Barratt Developments","United Kingdom","Retail & Consumer",
"ABB Ltd","Switzerland","Transportation & Logistics",
"Lindt & Sprüngli","Switzerland","Retail & Consumer",
"Swatch Group","Switzerland","Retail & Consumer",
"Temenos Group","Switzerland","Technology",
"Baloise","Switzerland","Insurance",
"Galenica (company)","Switzerland","Healthcare",
"Adecco Group","Switzerland","Transportation & Logistics",
"Aena","Spain","Other",
"Akzo Nobel","Netherlands","Materials & Chemicals",
"ASM International (company)","Netherlands","Technology",
"Auto Trader Group","United Kingdom","Media & Entertainment",
"B&M European Value Retail","United Kingdom","Other",
"Fastighets AB Balder","Sweden","Real Estate & Infrastructure",
"Beazley Group","United Kingdom","Insurance",
"Belimo Holding","Switzerland","Other",
"Castellum AB","Sweden","Real Estate & Infrastructure",
"ConvaTec","United Kingdom","Healthcare",
"Direct Line Insurance Group","United Kingdom","Insurance",
"Howden Joinery","United Kingdom","Other",
"Indutrade","Sweden","Transportation & Logistics",
"InterContinental Hotels Group","United Kingdom","Other",
"Intermediate Capital Group","United Kingdom","Banking & Finance",
"Ipsen (company)","France","Healthcare",
"AIXTRON","Germany","Technology",
"Koninklijke KPN","Netherlands","Telecommunications",
"LifeCo","Ireland","Insurance",
"Lumibird","France","Technology",
"Ontex (company)","Belgium","Other",
"Orange S.A.","France","Telecommunications",
"Prysmian","Italy","Transportation & Logistics",
"Recordati","Italy","Healthcare",
"Redeia","Spain","Energy & Utilities",
"Skandinaviska Enskilda Banken","Sweden","Banking & Finance",
"Svenska Handelsbanken","Sweden","Banking & Finance",
"Solvay (company)","Belgium","Materials & Chemicals",
"Spirax-Sarco Engineering","United Kingdom","Transportation & Logistics",
"Teva Pharmaceutical Industries","Israel","Healthcare",
"Telecom Italia","Italy","Telecommunications",
"Terna (company)","Italy","Energy & Utilities",
"Volvo Group","Sweden","Transportation & Logistics",
"Vestas Wind Systems","Denmark","Energy & Utilities",
"Leonardo S.p.A.","Italy","Transportation & Logistics",
"Lerøy Seafood Group","Norway","Retail & Consumer",
"Melexis","Belgium","Technology",
"Metso (2020 company)","Finland","Transportation & Logistics",
"Mondi (company)","United Kingdom","Transportation & Logistics",
"Sandoz (company)","Switzerland","Healthcare",
"Pearson PLC","United Kingdom","Media & Entertainment",
"PolyPeptide Group","Switzerland","Healthcare",
"S4 Capital","United Kingdom","Media & Entertainment",
"Schibsted","Norway","Media & Entertainment",
"Scout24 (company)","Germany","Technology",
"Smurfit Kappa","Ireland","Transportation & Logistics",
"TGS (company)","Norway","Energy & Utilities",
"Trelleborg AB","Sweden","Transportation & Logistics",
"Varta (company)","Germany","Transportation & Logistics",
"Vicat (company)","France","Other",
"Vitrolife","Sweden","Healthcare",
"Warehouses De Pauw","Belgium","Real Estate & Infrastructure",
"Wendel (company)","France","Banking & Finance",
"Wihlborgs Fastigheter","Sweden","Real Estate & Infrastructure",
"Wise plc","United Kingdom","Banking & Finance",
"Worldline","France","Transportation & Logistics",
"Adevinta","Norway","Retail & Consumer",
"Air France-KLM","France","Other",
"Allfunds Group","Spain","Banking & Finance",
"Austriamicrosystems","Austria","Technology",
"Argenx","Netherlands","Healthcare",
"Brunello Cucinelli (company)","Italy","Retail & Consumer",
"Casper (company)","Sweden","Real Estate & Infrastructure",
"Computer Center","United Kingdom","Technology",
"Dia (supermarket)","Spain","Other",
"DIETEREN Group","Belgium","Other",
"Falck (company)","Denmark","Healthcare",
"Fomento de Construcciones y Contratas","Spain","Other",
"Gruppo Campari","Italy","Retail & Consumer",
"Just Eat Takeaway","Netherlands","Other",
"Lanvin Group","France","Retail & Consumer",
"Moneysupermarket.com","United Kingdom","Media & Entertainment",
"Phoenix Group","United Kingdom","Insurance",
"Prysmian","Italy","Transportation & Logistics",
"Spirax-Sarco Engineering","United Kingdom","Transportation & Logistics",
