rank,domain,company_name,country,sector
1,3i.com,"3i","United Kingdom","Banking & Finance"
2,global.abb,"ABB Ltd","Switzerland","Transportation & Logistics"
3,abnamro.com,"ABN AMRO","Netherlands","Banking & Finance"
4,acciona.com,"Acciona","Spain","Other"
5,acciona-energia.com,"Acciona Energía","Spain","Energy & Utilities"
6,all.accor.com,"Accor","France","Other"
7,acerinox.com,"Acerinox","Spain","Materials & Chemicals"
8,grupoacs.com,"ACS Group","Spain","Other"
9,grupoacs.com,"ACS Group","Spain","Other"
10,adeccogroup.com,"Adecco","Switzerland","Transportation & Logistics"
11,adeccogroup.com,"Adecco Group","Switzerland","Transportation & Logistics"
12,adevinta.com,"Adevinta","Norway","Retail & Consumer"
13,adidas-group.com,"Adidas","Germany","Retail & Consumer"
14,admiralgroup.co.uk,"Admiral Group","United Kingdom","Insurance"
15,adyen.com,"Adyen","Netherlands","Transportation & Logistics"
16,aena.es,"Aena","Spain","Other"
17,ageas.com,"Ageas","Belgium","Insurance"
18,airfranceklm.com,"Air France-KLM","France","Other"
19,airliquide.ca,"Air Liquide","France","Materials & Chemicals"
20,airbus.com,"Airbus","France","Transportation & Logistics"
21,aixtron.com,"AIXTRON","Germany","Technology"
22,akerbp.com,"Aker BP","Norway","Energy & Utilities"
23,akzonobel.com,"Akzo Nobel","Netherlands","Materials & Chemicals"
24,akzonobel.com,"AkzoNobel","Netherlands","Materials & Chemicals"
25,alcon.com,"Alcon","Switzerland","Healthcare"
26,alfalaval.com,"Alfa Laval","Sweden","Transportation & Logistics"
27,alfalaval.com,"Alfa Laval","Sweden","Transportation & Logistics"
28,allfunds.com,"Allfunds Group","Spain","Banking & Finance"
29,allianz.com,"Allianz","Germany","Insurance"
30,alstom.com,"Alstom","France","Transportation & Logistics"
31,alstom.com,"Alstom","France","Transportation & Logistics"
32,ambu.com,"Ambu (company)","Denmark","Healthcare"
33,angloamerican.com,"Anglo American plc","United Kingdom","Materials & Chemicals"
34,ab-inbev.com,"Anheuser-Busch InBev","Belgium","Retail & Consumer"
35,antofagasta.co.uk,"Antofagasta plc","United Kingdom","Materials & Chemicals"
36,antofagasta.co.uk,"Antofagasta plc","United Kingdom","Materials & Chemicals"
37,corporate.arcelormittal.com,"ArcelorMittal","Luxembourg","Materials & Chemicals"
38,argenx.com,"Argenx","Netherlands","Healthcare"
39,arkema.com,"Arkema","France","Materials & Chemicals"
40,aroundtown.de,"Aroundtown","Germany","Real Estate & Infrastructure"
41,ashtead-group.com,"Ashtead Group","United Kingdom","Transportation & Logistics"
42,asml.com,"ASML Holding","Netherlands","Technology"
43,assaabloy.com,"Assa Abloy","Sweden","Other"
